generation,best_fitness,avg_fitness,worst_fitness
1,69.91239929199219,78.4739761352539,89.85862731933594
2,70.24830627441406,78.54116821289062,88.24211883544922
3,72.33096313476562,77.30631256103516,86.76469421386719
4,72.56736755371094,76.7545166015625,83.67180633544922
5,72.6163101196289,76.76277160644531,79.91231536865234
6,73.26594543457031,78.40760803222656,85.19993591308594
7,72.7776107788086,78.20623016357422,96.82196807861328
8,72.53703308105469,78.4921875,90.10758972167969
9,69.99742126464844,77.76298522949219,87.66726684570312
10,69.84117126464844,77.63622283935547,85.07960510253906
11,73.62042999267578,79.13394165039062,89.7103042602539
12,73.08566284179688,76.8387451171875,81.94570922851562
13,70.28700256347656,75.8264389038086,84.64286804199219
14,70.32162475585938,75.12581634521484,81.24112701416016
15,67.1912612915039,74.76051330566406,80.49584197998047
16,68.38063049316406,73.0951919555664,78.56957244873047
17,68.49288177490234,73.59652709960938,80.67932891845703
18,68.00827026367188,72.67244720458984,78.63420867919922
19,67.85095977783203,72.59907531738281,78.65452575683594
20,68.03490447998047,72.47168731689453,77.10961151123047
21,68.1778793334961,72.8956527709961,78.92726135253906
22,68.65209197998047,72.95162963867188,79.10733795166016
23,68.69806671142578,72.57080078125,77.57056427001953
24,66.60551452636719,72.47111511230469,80.14208221435547
25,66.77430725097656,71.2793960571289,78.70931243896484
26,66.85929870605469,71.97554016113281,79.86454772949219
27,67.17842102050781,72.0970230102539,87.11154174804688
28,68.88124084472656,72.01718139648438,78.15668487548828
29,65.56681823730469,71.9410400390625,78.51421356201172
30,67.72654724121094,71.83345031738281,79.67496490478516
31,67.77713775634766,71.57424926757812,84.23762512207031
32,67.53280639648438,70.40599822998047,74.7253189086914
33,68.2049331665039,70.56405639648438,75.45110321044922
34,64.83790588378906,70.87186431884766,77.56729125976562
35,64.86902618408203,70.7282943725586,76.67216491699219
36,67.65245056152344,70.53760528564453,76.54723358154297
37,66.11665344238281,70.57124328613281,75.77649688720703
38,66.05726623535156,70.66683197021484,80.81410217285156
39,65.1213607788086,70.6147232055664,79.86746215820312
40,65.31147003173828,70.3941421508789,80.12137603759766
41,66.63064575195312,69.72016906738281,73.9822006225586
42,65.55252838134766,69.63418579101562,75.10650634765625
43,65.4138412475586,70.23109436035156,82.05469512939453
44,66.68589782714844,69.3453369140625,74.07604217529297
45,66.03739166259766,69.73844146728516,77.17549133300781
46,65.96930694580078,70.4555892944336,78.05795288085938
47,65.85758209228516,69.16089630126953,74.2896499633789
48,66.0935287475586,68.55403900146484,73.55037689208984
49,65.77705383300781,68.27488708496094,72.95790100097656
50,64.9892578125,69.1225357055664,76.51802825927734
51,64.18765258789062,69.49134063720703,76.28823852539062
52,65.00696563720703,68.35625457763672,76.34809112548828
53,63.77629852294922,68.09469604492188,75.0509262084961
54,65.15354919433594,68.82644653320312,81.19973754882812
55,64.69197082519531,68.1955795288086,74.38910675048828
56,64.71467590332031,67.15428161621094,70.89388275146484
57,64.60047149658203,67.5304946899414,73.21318817138672
58,65.02897644042969,67.73247528076172,73.35920715332031
59,63.97854232788086,67.50129699707031,75.79096221923828
60,63.4964714050293,67.73753356933594,73.20051574707031
61,64.66548919677734,67.55070495605469,71.91494750976562
62,63.76527404785156,67.91925048828125,74.60179138183594
63,64.49974822998047,67.31591033935547,76.52095031738281
64,65.0572280883789,67.93867492675781,76.56117248535156
65,64.47309112548828,68.17811584472656,75.19087982177734
66,62.20759963989258,67.46994018554688,76.47980499267578
67,64.95988464355469,66.99452209472656,71.01483154296875
68,64.3597640991211,67.47765350341797,75.40933227539062
69,63.914939880371094,67.26802062988281,73.16300201416016
70,64.1335220336914,67.47138214111328,74.44905853271484
71,64.03128814697266,67.2902603149414,76.91771697998047
72,63.558475494384766,67.26033782958984,77.76714324951172
73,63.645809173583984,66.38172912597656,68.91036224365234
74,63.741432189941406,66.17654418945312,72.9442138671875
75,64.39429473876953,66.80195617675781,75.33168029785156
76,63.55484390258789,66.4461441040039,75.11553955078125
77,64.00615692138672,66.1423110961914,71.84857940673828
78,64.17134857177734,65.84439849853516,69.37255096435547
79,63.54200744628906,66.30137634277344,72.42684936523438
80,63.854976654052734,66.26692962646484,72.04350280761719
81,63.6931266784668,66.35075378417969,70.55945587158203
82,63.42301940917969,66.32646942138672,73.33706665039062
83,63.71725082397461,67.0300521850586,75.17831420898438
84,63.37200927734375,66.88284301757812,75.00984954833984
85,63.79672622680664,67.01097869873047,73.26276397705078
86,64.02877807617188,66.93690490722656,73.70693969726562
87,64.6695556640625,66.43875885009766,73.07063293457031
88,63.326663970947266,66.4778060913086,74.26321411132812
89,63.73006820678711,67.18865966796875,77.5687484741211
90,63.71038818359375,65.8265151977539,69.80838012695312
91,63.52565383911133,65.90131378173828,74.92222595214844
92,62.215240478515625,66.00743865966797,71.73664855957031
93,63.66140365600586,66.48539733886719,73.14505767822266
94,63.35482406616211,67.04840850830078,75.47188568115234
95,62.9620475769043,67.1012191772461,73.90541076660156
96,63.3675537109375,66.56402587890625,70.73343658447266
97,62.616004943847656,66.59314727783203,74.5495376586914
98,63.462852478027344,66.49528503417969,74.31439208984375
99,62.514678955078125,66.3880844116211,71.04193878173828
100,63.90270233154297,67.11595916748047,74.94068908691406
101,63.147281646728516,66.82481384277344,74.33866882324219
102,64.0808334350586,67.77210998535156,76.38766479492188
103,63.5516242980957,67.48106384277344,76.1393814086914
104,63.51776885986328,66.70775604248047,73.57249450683594
105,61.918724060058594,66.37814331054688,70.42058563232422
106,62.87263488769531,65.90440368652344,72.00301361083984
107,62.4383430480957,65.90067291259766,71.83134460449219
108,62.35182571411133,66.01847076416016,76.63874053955078
109,61.81095504760742,65.6520767211914,70.26260375976562
110,61.4445686340332,65.38904571533203,75.46524810791016
111,61.99129104614258,65.43173217773438,73.20800018310547
112,61.320106506347656,65.09754943847656,74.94066619873047
113,61.42394256591797,65.23419189453125,74.41822814941406
114,61.49174880981445,64.95026397705078,75.2527847290039
115,62.925025939941406,64.96022033691406,69.68397521972656
116,62.15049362182617,66.7426528930664,81.11908721923828
117,63.21070098876953,66.43474578857422,74.3720474243164
118,62.10373306274414,66.32249450683594,78.02045440673828
119,62.25689697265625,64.94520568847656,71.13602447509766
120,63.45154571533203,65.03996276855469,69.18403625488281
121,62.50981521606445,65.74269104003906,83.2770767211914
122,63.002689361572266,65.60237121582031,73.10660552978516
123,61.87604522705078,65.35134887695312,72.61467742919922
124,62.71804428100586,66.08333587646484,76.46076202392578
125,62.685672760009766,65.6821517944336,71.49893188476562
126,63.04024887084961,66.44214630126953,75.22926330566406
127,62.74162292480469,65.74205780029297,75.23956298828125
