mode,seed,generations,final_downscaled_rmse,final_full_rmse,elapsed_sec
target_independent,42,300,30.93035125732422,31.80726869233928,105.02080988883972
smart,42,300,29.158143997192383,30.283718306120278,105.14729714393616
target_independent,123,300,33.17140197753906,34.0013019358573,108.9621901512146
smart,123,300,30.165752410888672,31.229191472082654,104.2632691860199
target_independent,456,300,31.984756469726562,32.798242966150895,103.76485705375671
smart,456,300,31.278303146362305,32.38822544108,105.28671622276306
