generation,best_fitness,avg_fitness,worst_fitness
1,69.91239929199219,78.4739761352539,89.85862731933594
2,69.91239929199219,79.40919494628906,86.76244354248047
3,69.91239929199219,80.82770538330078,92.93787384033203
4,69.91239929199219,80.33881378173828,90.8159408569336
5,69.91239929199219,80.0392074584961,90.5920639038086
6,69.91239929199219,78.77622985839844,88.76332092285156
7,69.91239929199219,78.4753646850586,88.80477905273438
8,69.91239929199219,77.66816711425781,85.67576599121094
9,69.91239929199219,78.44668579101562,86.18678283691406
10,69.91239929199219,77.68968200683594,86.89637756347656
11,69.91239929199219,77.54596710205078,85.54531860351562
12,69.91239929199219,76.50575256347656,83.83997344970703
13,69.91239929199219,76.76786041259766,86.29227447509766
14,67.10157775878906,76.65888214111328,83.8167953491211
15,67.10157775878906,76.76102447509766,87.66238403320312
16,67.10157775878906,75.58311462402344,86.27820587158203
17,67.10157775878906,76.38672637939453,89.22278594970703
18,67.10157775878906,76.16665649414062,86.9942398071289
19,67.10157775878906,75.40782165527344,91.07552337646484
20,67.10157775878906,75.83883666992188,86.59294128417969
21,67.10157775878906,74.91358947753906,83.81370544433594
22,67.10157775878906,76.77449035644531,88.00637817382812
23,67.10157775878906,75.17839050292969,86.45588684082031
24,67.10157775878906,75.3344497680664,86.0999526977539
25,66.25897216796875,74.4709701538086,87.06206512451172
26,66.25897216796875,75.12981414794922,84.64537048339844
27,66.25897216796875,75.00028228759766,82.64898681640625
28,66.25897216796875,75.1855239868164,84.93749237060547
29,65.90997314453125,75.0963134765625,85.8736801147461
30,65.90997314453125,75.05924987792969,84.47248077392578
31,65.90997314453125,74.1303939819336,85.32266998291016
32,65.27836608886719,73.61380767822266,86.87223052978516
33,64.61792755126953,73.50344848632812,85.8974838256836
34,64.61792755126953,74.1497573852539,84.26083374023438
35,64.61792755126953,74.6500015258789,87.63249969482422
36,64.61792755126953,74.18523406982422,86.18161010742188
37,64.61792755126953,74.09725189208984,84.58065795898438
38,63.54566955566406,72.60028839111328,86.05452728271484
39,63.54566955566406,72.70480346679688,85.43418884277344
40,62.859378814697266,73.7791976928711,94.69738006591797
41,62.859378814697266,72.40438079833984,86.64256286621094
42,62.859378814697266,73.41896057128906,83.57522583007812
43,62.859378814697266,72.31813049316406,80.37030029296875
44,62.859378814697266,71.85640716552734,80.38603973388672
45,62.859378814697266,70.436767578125,80.95558166503906
