generation,best_fitness,avg_fitness,worst_fitness
1,69.91239929199219,78.9395980834961,89.85862731933594
2,70.88671112060547,78.16278839111328,86.7846908569336
3,67.53999328613281,77.83820343017578,91.99043273925781
4,69.98470306396484,78.82470703125,91.7968521118164
5,72.72552490234375,79.24304962158203,87.84129333496094
6,68.77467346191406,79.1827621459961,86.88492584228516
7,70.76058197021484,79.50941467285156,89.697998046875
8,69.61152648925781,78.99468994140625,90.00110626220703
9,66.68346405029297,78.27310180664062,86.93952178955078
10,68.67302703857422,77.70862579345703,87.79798126220703
11,68.9679946899414,77.81864929199219,92.81588745117188
12,67.65889739990234,78.3949203491211,89.76167297363281
13,69.6270980834961,79.03514862060547,91.45745086669922
14,69.92213439941406,78.76103210449219,89.7004623413086
15,69.41666412353516,79.20231628417969,91.66239929199219
16,72.30136108398438,80.17166137695312,92.6469955444336
17,71.38298797607422,79.11196899414062,90.14834594726562
18,70.97445678710938,79.81291198730469,94.54338836669922
19,70.88291931152344,78.73980712890625,92.1523208618164
20,70.80768585205078,79.90338134765625,90.12738800048828
21,73.47406768798828,79.6687240600586,89.43939971923828
22,73.57097625732422,79.89073944091797,89.48533630371094
23,70.85448455810547,80.74592590332031,94.6445541381836
24,69.9403305053711,79.70306396484375,92.69098663330078
25,69.41413116455078,78.81262969970703,95.14685821533203
26,69.3882827758789,78.75009155273438,93.65425109863281
27,69.11429595947266,79.63825988769531,91.03618621826172
28,70.24373626708984,79.66400909423828,89.4111557006836
29,69.14299774169922,78.4836196899414,88.1972885131836
30,70.05303192138672,78.997314453125,91.60643768310547
31,70.70757293701172,78.3768539428711,92.53387451171875
32,65.81468200683594,79.42710876464844,92.52240753173828
33,67.04302978515625,79.20568084716797,90.4684829711914
34,70.78256225585938,79.3692855834961,89.65046691894531
35,70.12602996826172,79.34862518310547,88.89154052734375
36,68.22544860839844,78.81743621826172,89.74114990234375
37,69.80009460449219,78.70950317382812,89.17756652832031
38,66.41575622558594,78.54077911376953,89.2158203125
39,71.1317138671875,79.6404037475586,91.54519653320312
40,71.70199584960938,79.1986312866211,89.47663116455078
41,69.2292709350586,79.34777069091797,96.56043243408203
42,67.47371673583984,78.9271011352539,90.57735443115234
43,68.12344360351562,79.29405212402344,92.89674377441406
44,69.26365661621094,79.22413635253906,87.87104797363281
45,70.529296875,78.07793426513672,87.69844055175781
46,70.09847259521484,78.3285140991211,91.29615783691406
47,70.70433807373047,78.80518341064453,85.82675170898438
48,67.96633911132812,78.38441467285156,88.7018051147461
49,69.52816772460938,79.6489028930664,88.11040496826172
50,68.53926849365234,79.34074401855469,90.64079284667969
51,70.53994750976562,79.63741302490234,88.04601287841797
52,71.4308853149414,79.8180160522461,95.26152801513672
53,71.64105987548828,80.60064697265625,90.29293060302734
54,70.26457214355469,79.74685668945312,91.31468963623047
55,70.68146514892578,80.20964050292969,94.9982681274414
56,70.71613311767578,80.23371124267578,91.66578674316406
57,70.22278594970703,82.13774108886719,93.16006469726562
58,71.00212860107422,81.94900512695312,93.96083068847656
59,69.29594421386719,79.92713165283203,93.14031219482422
60,69.53018951416016,79.5379409790039,89.64286804199219
61,74.00189971923828,80.33483123779297,90.40550994873047
62,72.6740493774414,80.31501770019531,92.93126678466797
63,72.67986297607422,79.8377456665039,88.9852066040039
64,73.1600570678711,80.33649444580078,89.25528717041016
65,72.92780303955078,80.9328842163086,88.9944076538086
66,72.41240692138672,79.84467315673828,89.00395965576172
67,70.92169952392578,79.14736938476562,92.39012908935547
68,70.52835845947266,78.84207916259766,90.60501098632812
69,70.66761016845703,79.85932922363281,90.78401947021484
70,70.32726287841797,79.7192611694336,90.85132598876953
71,69.77729797363281,78.31524658203125,88.90612030029297
72,70.94625854492188,77.6570816040039,92.81903839111328
73,69.929443359375,77.8717269897461,92.9469223022461
74,68.81267547607422,78.0703125,93.22447204589844
75,67.831787109375,77.3607406616211,91.86653137207031
76,67.25364685058594,76.6532974243164,92.6184310913086
77,64.61441040039062,76.79718017578125,92.55024719238281
78,68.35504913330078,75.68943786621094,89.73001861572266
79,68.17020416259766,75.68026733398438,88.21349334716797
80,69.98896026611328,76.39480590820312,82.90275573730469
81,68.18585205078125,76.31620788574219,84.60171508789062
82,67.91763305664062,76.65930938720703,84.2807388305664
83,71.73048400878906,76.66190338134766,84.99483489990234
84,71.27466583251953,76.63658905029297,85.98509979248047
85,71.26593017578125,77.08285522460938,85.13319396972656
86,70.56436157226562,77.83910369873047,87.68712615966797
87,70.97489166259766,77.22982788085938,84.020751953125
88,71.068359375,78.14494323730469,85.15270233154297
89,72.21492767333984,77.67176055908203,83.78148651123047
90,71.83382415771484,77.37230682373047,84.71029663085938
91,71.04527282714844,77.63433074951172,86.10192108154297
92,70.16592407226562,76.7298812866211,83.68740844726562
