generation,best_fitness,avg_fitness,worst_fitness
1,69.91239929199219,78.4739761352539,89.85862731933594
2,69.91239929199219,75.48180389404297,83.86775970458984
3,69.91239929199219,73.3598403930664,78.32371520996094
4,69.90824127197266,71.93864440917969,75.55895233154297
5,68.31719970703125,71.27779388427734,73.66201782226562
6,68.10123443603516,70.22935485839844,72.7559814453125
7,68.10123443603516,69.21538543701172,72.04134368896484
8,66.56283569335938,68.77751159667969,70.1368637084961
9,66.56283569335938,68.09745788574219,69.57059478759766
10,66.56283569335938,67.811767578125,69.60345458984375
11,66.19432067871094,67.65482330322266,70.37973022460938
12,66.19432067871094,67.25619506835938,70.1899185180664
13,66.19432067871094,66.91262817382812,69.51094818115234
14,66.15946960449219,66.80636596679688,69.59454345703125
15,65.7861557006836,66.83845520019531,70.00382232666016
16,65.7861557006836,66.51348114013672,68.01261901855469
17,65.75403594970703,66.4105453491211,68.16545104980469
18,65.46409606933594,66.45244598388672,69.73308563232422
19,64.83679962158203,66.2112808227539,69.48207092285156
20,64.6111068725586,65.8831558227539,67.07316589355469
21,64.6111068725586,65.60330963134766,66.92610168457031
22,64.26717376708984,65.47814178466797,69.23715209960938
23,64.26717376708984,65.31661224365234,68.18994903564453
24,64.26717376708984,64.93889617919922,67.83494567871094
25,64.26717376708984,64.88373565673828,68.61015319824219
26,64.26717376708984,65.0635757446289,69.06167602539062
27,63.80721664428711,64.7322006225586,67.57665252685547
28,63.80721664428711,64.6911392211914,67.00595092773438
29,63.720985412597656,64.49378967285156,65.97693634033203
30,63.466583251953125,64.07904815673828,64.72531127929688
31,63.085052490234375,64.03024291992188,66.58786010742188
32,63.085052490234375,64.01892852783203,67.24894714355469
33,63.085052490234375,63.8941764831543,66.74044036865234
34,63.085052490234375,63.83161926269531,66.59476470947266
35,62.98359680175781,63.46949005126953,65.05927276611328
36,62.51205062866211,63.43927001953125,66.05345153808594
37,62.46022033691406,63.2669792175293,64.4853744506836
38,62.39289093017578,63.0267219543457,64.64962005615234
39,62.3774528503418,62.80297088623047,64.83370208740234
40,62.29905319213867,62.74981689453125,64.85513305664062
41,62.295326232910156,62.670570373535156,66.00654602050781
42,62.282867431640625,62.610374450683594,64.409912109375
43,62.216697692871094,62.76860809326172,66.73782348632812
44,62.19146728515625,62.75841522216797,65.46073150634766
45,62.146949768066406,62.6254768371582,66.48202514648438
46,61.97347640991211,62.58696365356445,64.82393646240234
47,61.60253143310547,62.5549430847168,65.84954833984375
48,61.60253143310547,62.32257080078125,63.248111724853516
49,61.251251220703125,62.35176467895508,65.98979949951172
50,61.2409553527832,62.34550857543945,65.46527099609375
51,61.2409553527832,61.97871017456055,63.324058532714844
52,61.2409553527832,62.22966766357422,65.08336639404297
53,61.045284271240234,61.62852096557617,63.6472053527832
54,61.045284271240234,61.61905288696289,64.23468017578125
55,61.045284271240234,61.57887268066406,64.22950744628906
56,61.03334045410156,61.526554107666016,64.10355377197266
57,60.87321853637695,61.431236267089844,64.85977935791016
58,60.87321853637695,61.30597686767578,63.772003173828125
59,60.79738998413086,61.27422332763672,62.884544372558594
60,60.584537506103516,61.59142303466797,65.88851928710938
61,60.584537506103516,61.25349426269531,63.16815948486328
62,60.56167984008789,61.104488372802734,63.337303161621094
63,60.5241813659668,61.0060920715332,64.27777099609375
64,60.4470100402832,60.67346954345703,61.73405838012695
65,60.32329559326172,60.88510513305664,63.61962890625
66,60.32329559326172,60.93714904785156,63.011741638183594
67,60.32329559326172,60.70066833496094,62.995269775390625
68,60.242271423339844,60.77363204956055,63.499473571777344
69,59.97456741333008,60.62249755859375,62.85897445678711
70,59.97456741333008,60.62681198120117,65.89331817626953
71,59.97456741333008,60.55292510986328,63.774715423583984
72,59.927215576171875,60.736751556396484,65.30339050292969
73,59.927215576171875,60.75925064086914,63.74162673950195
74,59.91447067260742,60.61305618286133,63.365535736083984
75,59.91447067260742,60.69701385498047,63.33382797241211
76,59.61604309082031,60.46574020385742,63.63964080810547
77,59.61604309082031,60.50187301635742,63.67252731323242
78,59.61604309082031,60.52307891845703,64.30142974853516
79,59.61604309082031,60.668418884277344,65.60751342773438
80,59.61604309082031,60.10182189941406,62.042659759521484
81,59.600608825683594,60.06636428833008,64.62760162353516
82,59.46852111816406,59.90882873535156,61.830322265625
83,59.46852111816406,60.25496292114258,64.7768325805664
84,59.46852111816406,60.097591400146484,64.6538314819336
85,59.46852111816406,60.00777816772461,64.82501220703125
86,59.41297912597656,59.80435562133789,61.56553649902344
87,59.40227508544922,59.777320861816406,61.58119583129883
88,59.40227508544922,60.08415603637695,64.60424041748047
89,59.34503936767578,59.69096755981445,60.69503402709961
90,59.29933166503906,59.923194885253906,63.50786590576172
