generation,best_fitness,avg_fitness,worst_fitness
1,69.76567840576172,79.2118911743164,95.197509765625
2,68.15327453613281,76.60092163085938,88.28466796875
3,67.31201934814453,74.82183074951172,80.66370391845703
4,67.42552185058594,73.08453369140625,82.56270599365234
5,65.46912384033203,71.60836791992188,79.60399627685547
6,62.106136322021484,70.27350616455078,76.66456604003906
7,62.0740966796875,69.3064193725586,75.32933807373047
8,62.06867980957031,68.2415542602539,76.99992370605469
9,61.289554595947266,66.88591003417969,72.7926254272461
10,60.49935531616211,65.78072357177734,72.2398681640625
11,60.12109375,65.02130889892578,71.78555297851562
12,59.251827239990234,63.94404602050781,71.06376647949219
13,58.98366165161133,63.02436065673828,71.3014144897461
14,57.365745544433594,62.00975036621094,67.26484680175781
15,56.914825439453125,61.221805572509766,67.51856231689453
16,55.30567932128906,60.60438919067383,66.67265319824219
17,54.70565414428711,60.1237907409668,65.62071228027344
18,55.28958511352539,59.174903869628906,63.49597930908203
19,54.82612609863281,58.66010284423828,62.8289794921875
20,55.050594329833984,58.23435592651367,61.904052734375
21,53.76488494873047,57.60444641113281,61.673099517822266
22,54.290348052978516,56.970558166503906,59.624664306640625
23,53.732757568359375,56.49471664428711,59.46240234375
24,53.373992919921875,55.964996337890625,58.97072982788086
25,52.2834587097168,55.639991760253906,58.59831237792969
26,52.273170471191406,55.04977035522461,57.48360824584961
27,53.110687255859375,54.899940490722656,56.97416687011719
28,52.05195999145508,54.37042999267578,56.91986846923828
29,51.62760543823242,53.81574249267578,55.82044982910156
30,51.56736373901367,53.375972747802734,55.32392501831055
31,51.64537048339844,53.11945343017578,55.58165740966797
32,51.394439697265625,52.7276496887207,54.29736328125
33,50.849578857421875,52.531742095947266,54.15985870361328
34,51.15421676635742,52.40007019042969,54.05748748779297
35,50.68574142456055,52.053070068359375,53.72686767578125
36,50.28411102294922,51.89226150512695,54.16670608520508
37,50.37289047241211,51.58320236206055,53.566650390625
38,50.104774475097656,51.291255950927734,53.00604248046875
39,49.914913177490234,51.09049987792969,52.64919662475586
40,49.70757293701172,50.841400146484375,52.19636535644531
